,cash,asset_value,total_assets,reward,date
0,4000000.0,0.0,4000000.0,0.0,2021-04-07 01:00:00
1,3270080.45,729853.8,3999934.25,0.0,2021-04-07 02:00:00
2,2542031.1,1458360.75,4000391.85,-8.218750000010822e-06,2021-04-07 03:00:00
3,1850896.7000000002,2149240.05,4000136.75,3.265416666664578e-05,2021-04-07 04:00:00
4,1146549.6000000003,2853666.6,4000216.2,8.546875000015053e-06,2021-04-07 05:00:00
5,439506.00000000035,3559562.0,3999068.0000000005,1.0810000000027742e-05,2021-04-07 06:00:00
6,439506.00000000035,3557714.25,3997220.2500000005,-0.015051649999999972,2021-04-07 07:00:00
7,439506.00000000035,3561375.65,4000881.6500000004,-0.012954207142857126,2021-04-07 08:00:00
8,439506.00000000035,3563027.8000000003,4002533.8000000007,-0.011243396249999982,2021-04-07 09:00:00
9,439506.00000000035,3563956.95,4003462.9500000007,-0.009957415555555528,2021-04-07 10:00:00
10,439506.00000000035,3563072.8,4002578.8000000003,-0.008943090999999981,2021-04-07 11:00:00
11,439506.00000000035,3562955.45,4002461.4500000007,-0.008146158181818165,2021-04-07 12:00:00
12,439506.00000000035,3559764.25,3999270.2500000005,-0.007469267499999978,2021-04-07 13:00:00
13,439506.00000000035,3557750.45,3997256.4500000007,-0.0069438038461538355,2021-04-07 14:00:00
14,439506.00000000035,3559388.3499999996,3998894.35,-0.006476586428571407,2021-04-07 15:00:00
15,439506.00000000035,3558029.45,3997535.4500000007,-0.006022975333333329,2021-04-07 16:00:00
16,439506.00000000035,3557804.65,3997310.6500000004,-0.005663525624999985,2021-04-07 17:00:00
17,439506.00000000035,3557945.65,3997451.6500000004,-0.0053330217647058736,2021-04-07 18:00:00
18,439506.00000000035,3559209.4,3998715.4000000004,-0.005035176111111101,2021-04-07 19:00:00
19,439506.00000000035,3559284.5,3998790.5000000005,-0.004756864210526305,2021-04-07 20:00:00
20,439506.00000000035,3558260.2,3997766.2000000007,-0.004518269999999991,2021-04-07 21:00:00
21,439506.00000000035,3558851.4000000004,3998357.400000001,-0.0043128695238095136,2021-04-07 22:00:00
22,439506.00000000035,3559008.4000000004,3998514.400000001,-0.004111455454545443,2021-04-07 23:00:00
23,439506.00000000035,3558964.8,3998470.8000000003,-0.003931331304347814,2021-04-08 00:00:00
24,439506.00000000035,3559333.95,3998839.9500000007,-0.0037678891666666583,2021-04-08 01:00:00
25,439506.00000000035,3559385.55,3998891.5500000003,-0.00361422039999999,2021-04-08 02:00:00
26,439506.00000000035,3559458.4000000004,3998964.400000001,-0.0034748149999999944,2021-04-08 03:00:00
27,439506.00000000035,3559080.3,3998586.3000000003,-0.003345578518518511,2021-04-08 04:00:00
28,439506.00000000035,3558116.6999999997,3997622.7,-0.003228794285714281,2021-04-08 05:00:00
29,439506.00000000035,3557117.35,3996623.3500000006,-0.0031241020689655136,2021-04-08 06:00:00
30,439506.00000000035,3557756.6,3997262.6000000006,-0.003026627666666663,2021-04-08 07:00:00
31,439506.00000000035,3557590.7,3997096.7000000007,-0.0029248703225806367,2021-04-08 08:00:00
32,439506.00000000035,3554698.45,3994204.4500000007,-0.002834504999999994,2021-04-08 09:00:00
33,439506.00000000035,3555147.8000000003,3994653.8000000007,-0.002766139696969688,2021-04-08 10:00:00
34,439506.00000000035,3554299.5,3993805.5000000005,-0.002682139411764699,2021-04-08 11:00:00
35,439506.00000000035,3554342.2,3993848.2000000007,-0.0026103542857142813,2021-04-08 12:00:00
36,439506.00000000035,3553837.4,3993343.4000000004,-0.002537607222222216,2021-04-08 13:00:00
37,439506.00000000035,3551863.8499999996,3991369.85,-0.002471751891891887,2021-04-08 14:00:00
38,439506.00000000035,3551466.05,3990972.0500000003,-0.002417092894736841,2021-04-08 15:00:00
39,439506.00000000035,3552024.0,3991530.0000000005,-0.0023571561538461494,2021-04-08 16:00:00
40,439506.00000000035,3550733.05,3990239.0500000003,-0.0022954374999999945,2021-04-08 17:00:00
41,439506.00000000035,3550944.8000000003,3990450.8000000007,-0.0022457485365853613,2021-04-08 18:00:00
42,439506.00000000035,3550344.2,3989850.2000000007,-0.002191269999999994,2021-04-08 19:00:00
43,439506.00000000035,3550284.8499999996,3989790.85,-0.002143103720930225,2021-04-08 20:00:00
44,439506.00000000035,3550085.8499999996,3989591.85,-0.002094666590909087,2021-04-08 21:00:00
45,439506.00000000035,3550267.5,3989773.5000000005,-0.0020490028888888855,2021-04-08 22:00:00
46,439506.00000000035,3549495.1,3989001.1000000006,-0.0020036695652173877,2021-04-08 23:00:00
47,439506.00000000035,3549391.7,3988897.7000000007,-0.0019643251063829743,2021-04-09 00:00:00
48,439506.00000000035,3550103.9,3989609.9000000004,-0.0019238324999999955,2021-04-09 01:00:00
49,439506.00000000035,3551501.5,3991007.5000000005,-0.001881663673469384,2021-04-09 02:00:00
50,439506.00000000035,3552018.25,3991524.2500000005,-0.0018384399999999946,2021-04-09 03:00:00
51,439506.00000000035,3551228.45,3990734.4500000007,-0.0018003656862745055,2021-04-09 04:00:00
52,439506.00000000035,3551750.5,3991256.5000000005,-0.0017687809615384575,2021-04-09 05:00:00
53,439506.00000000035,3551751.95,3991257.9500000007,-0.0017334377358490538,2021-04-09 06:00:00
54,439506.00000000035,3551589.3,3991095.3000000003,-0.0017013316666666637,2021-04-09 07:00:00
55,439506.00000000035,3551379.85,3990885.8500000006,-0.0016709898181818158,2021-04-09 08:00:00
56,439506.00000000035,3551272.1500000004,3990778.150000001,-0.0016418987499999974,2021-04-09 09:00:00
57,439506.00000000035,3551002.8000000003,3990508.8000000007,-0.0016134714035087672,2021-04-09 10:00:00
58,439506.00000000035,3549368.55,3988874.5500000003,-0.0015865817241379266,2021-04-09 11:00:00
59,439506.00000000035,3549704.7,3989210.7000000007,-0.0015652303389830481,2021-04-09 12:00:00
60,439506.00000000035,3552061.3499999996,3991567.35,-0.0015380226666666626,2021-04-09 13:00:00
61,439506.00000000035,3552774.9499999997,3992280.95,-0.0015050824590163913,2021-04-09 14:00:00
62,439506.00000000035,3551159.05,3990665.0500000003,-0.0014785049999999974,2021-04-09 15:00:00
63,439506.00000000035,3550817.05,3990323.0500000003,-0.0014601665079365068,2021-04-09 16:00:00
64,439506.00000000035,3551835.8000000003,3991341.8000000007,-0.0014384201562499983,2021-04-09 17:00:00
65,439506.00000000035,3551480.8,3990986.8000000003,-0.0014131559999999974,2021-04-09 18:00:00
66,439506.00000000035,3551024.8499999996,3990530.85,-0.0013928203030303013,2021-04-09 19:00:00
67,439506.00000000035,3549705.85,3989211.8500000006,-0.0013733929850746236,2021-04-09 20:00:00
68,439506.00000000035,3550955.5500000003,3990461.5500000007,-0.0013570754411764679,2021-04-11 20:00:00
69,439506.00000000035,3552435.3000000003,3991941.3000000007,-0.0013337853623188363,2021-04-11 21:00:00
70,439506.00000000035,3551125.2,3990631.2000000007,-0.0013105034285714253,2021-04-11 22:00:00
71,439506.00000000035,3551238.3499999996,3990744.35,-0.0012957360563380245,2021-04-11 23:00:00
72,439506.00000000035,3551169.8,3990675.8000000003,-0.0012774254166666643,2021-04-12 00:00:00
73,439506.00000000035,3552367.55,3991873.5500000003,-0.001260114246575341,2021-04-12 01:00:00
74,439506.00000000035,3552128.95,3991634.9500000007,-0.0012398485135135108,2021-04-12 02:00:00
75,439506.00000000035,3551343.5,3990849.5000000005,-0.0012239534666666637,2021-04-12 03:00:00
76,439506.00000000035,3550196.2,3989702.2000000007,-0.0012099157894736824,2021-04-12 04:00:00
77,439506.00000000035,3550102.8,3989608.8000000003,-0.0011971825974025957,2021-04-12 05:00:00
78,439506.00000000035,3551158.85,3990664.8500000006,-0.0011820735897435887,2021-04-12 06:00:00
79,439506.00000000035,3551480.55,3990986.5500000003,-0.0011644370886075923,2021-04-12 07:00:00
80,439506.00000000035,3552032.6500000004,3991538.650000001,-0.0011490773749999975,2021-04-12 08:00:00
81,439506.00000000035,3553880.5500000003,3993386.5500000007,-0.0011335280246913548,2021-04-12 09:00:00
82,439506.00000000035,3551941.75,3991447.7500000005,-0.0011151974390243872,2021-04-12 10:00:00
83,439506.00000000035,3554079.1500000004,3993585.150000001,-0.0011064331325301184,2021-04-12 11:00:00
84,439506.00000000035,3554024.4000000004,3993530.400000001,-0.0010881722619047582,2021-04-12 12:00:00
85,439506.00000000035,3555231.4000000004,3994737.400000001,-0.0010754990588235252,2021-04-12 13:00:00
86,439506.00000000035,3554965.1,3994471.1000000006,-0.0010601862790697652,2021-04-12 14:00:00
87,439506.00000000035,3553012.1,3992518.1000000006,-0.0010486124137931005,2021-04-12 15:00:00
88,439506.00000000035,3553897.9,3993403.9000000004,-0.0010411349999999973,2021-04-12 16:00:00
89,439506.00000000035,3553130.0999999996,3992636.1,-0.00102744629213483,2021-04-12 17:00:00
90,439506.00000000035,3553439.35,3992945.3500000006,-0.0010177364444444428,2021-04-12 18:00:00
91,439506.00000000035,3554212.65,3993718.6500000004,-0.0010058728571428553,2021-04-12 19:00:00
92,439506.00000000035,3553885.4,3993391.4000000004,-0.0009932583695652147,2021-04-12 20:00:00
93,439506.00000000035,3553363.0,3992869.0000000005,-0.0009832819354838698,2021-04-12 21:00:00
94,439506.00000000035,3553659.1500000004,3993165.150000001,-0.0009739329787234026,2021-04-12 22:00:00
95,439506.00000000035,3553834.9,3993340.9000000004,-0.000963057578947366,2021-04-12 23:00:00
96,439506.00000000035,3554411.8,3993917.8000000003,-0.0009526595833333311,2021-04-13 00:00:00
97,439506.00000000035,3556491.1500000004,3995997.150000001,-0.0009416488659793793,2021-04-13 01:00:00
98,439506.00000000035,3556308.85,3995814.8500000006,-0.000927796632653058,2021-04-13 02:00:00
99,439506.00000000035,3555615.95,3995121.9500000007,-0.0009187932323232305,2021-04-13 03:00:00
100,439506.00000000035,3556197.3000000003,3995703.3000000007,-0.0009109910999999971,2021-04-13 04:00:00
101,439506.00000000035,3556073.5999999996,3995579.6,-0.0009008201980197999,2021-04-13 05:00:00
102,439506.00000000035,3556542.45,3996048.4500000007,-0.0008922311764705869,2021-04-13 06:00:00
103,439506.00000000035,3556791.55,3996297.5500000003,-0.0008826583495145619,2021-04-13 07:00:00
104,439506.00000000035,3557236.6500000004,3996742.650000001,-0.0008736922115384605,2021-04-13 08:00:00
105,439506.00000000035,3555186.25,3994692.2500000005,-0.0008645235238095218,2021-04-13 09:00:00
106,439506.00000000035,3556574.4,3996080.4000000004,-0.0008602363207547148,2021-04-13 10:00:00
107,439506.00000000035,3554644.55,3994150.5500000003,-0.0008496020560747649,2021-04-13 11:00:00
108,439506.00000000035,3554385.65,3993891.6500000004,-0.000845309166666666,2021-04-13 12:00:00
109,439506.00000000035,3553323.0,3992829.0000000005,-0.0008380290825688061,2021-04-13 13:00:00
110,439506.00000000035,3555160.0500000003,3994666.0500000007,-0.0008323427272727259,2021-04-13 14:00:00
