,date,actions,transactions
0,2021-04-07 01:00:00,"[-48.09648075  35.71993187 -54.3175      -8.20437797 -37.02490731
 -77.39       -74.67497329 -55.2975      42.91493861  59.36
  83.48754857 -87.01       -64.4225      97.20830448 -45.71500286
 -44.40580599 -32.8825     -35.3        -62.88        45.91047156]","[0.   1.   0.   0.   0.   0.   0.   0.   1.   1.   0.93 0.   0.   0.99
 0.   0.   0.   0.   0.   0.99]"
1,2021-04-07 02:00:00,"[-48.05902495  35.66493197 -54.29       -10.27522938 -36.98491403
 -77.465      -74.69998664 -55.2575      42.92744371  59.37
  83.18119159 -86.98       -64.36        97.31399508 -42.84586866
 -44.3933144  -32.85       -35.29       -62.915       45.90615761]","[0.   1.   0.   0.   0.   0.   0.   0.   1.   1.   0.92 0.   0.   0.99
 0.   0.   0.   0.   0.   0.99]"
2,2021-04-07 03:00:00,"[-47.99475903  35.62958375 -54.2725      10.30849828 -36.99241401
 -77.55       -74.69498664 -55.2625      42.93243858  59.33
  54.21305836 -86.9875     -64.36        97.22939021   5.86248511
 -44.35966432 -32.8225     -35.25       -62.925       46.06030485]","[0.   1.   0.   0.27 0.   0.   0.   0.   1.   1.   0.6  0.   0.   0.99
 0.   0.   0.   0.   0.   0.99]"
3,2021-04-07 04:00:00,"[-47.98275006  35.63960063 -54.245        8.27738133 -37.00742059
 -77.5275     -74.67998665 -55.2625      42.91994884  59.33
  52.70937243 -87.005      -64.3825      97.29130527  10.37407985
 -44.38731029 -32.8525     -35.2725     -62.935       46.09047147]","[0.   1.   0.   0.22 0.   0.   0.   0.   1.   1.   0.58 0.   0.   0.99
 0.15 0.   0.   0.   0.   0.99]"
4,2021-04-07 05:00:00,"[-47.99597793  35.6421091  -54.2425       6.60818788 -36.98742725
 -77.5175     -74.69248664 -55.265       42.91996418  59.355
  51.36936077 -87.0225     -64.3825      97.3746005   14.37910846
 -44.39504189 -32.855      -35.285      -62.92        46.10041683]","[0.   1.   0.   0.17 0.   0.   0.   0.   1.   1.   0.57 0.   0.   0.99
 0.21 0.   0.   0.   0.   0.99]"
5,2021-04-07 06:00:00,"[-48.00300395  35.64213459 -54.255        5.10121151 -36.98493166
 -77.5375     -74.71749109 -55.2725      42.97246926  59.375
  50.01521174 -86.935      -64.3175      97.33759181  18.10151864
 -44.4027974  -32.85       -35.285      -62.925       46.11427356]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
6,2021-04-07 07:00:00,"[-47.68667182  35.52724589 -54.26       -14.99065698 -36.86236378
 -77.6775     -74.85999108 -55.19        43.07747432  59.35
  68.78118133 -86.8775     -64.065       97.7336307  -19.61497978
 -44.39796495 -32.7375     -35.205      -63.07        46.01577816]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
7,2021-04-07 08:00:00,"[-46.77399524  35.46983046 -54.2325     -22.55967681 -36.87730877
 -77.775      -74.89499107 -55.235       43.02498974  59.405
 -87.89273891 -87.0475     -64.195       97.86162893  66.55820823
 -44.26035863 -32.74       -35.2075     -63.045       46.1530122 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
8,2021-04-07 09:00:00,"[-44.27003739  34.88081265 -54.205      -33.40869542 -36.8972097
 -77.82       -74.84999108 -55.235       42.96998976  59.4325
 -90.50009664 -87.0975     -64.27        97.99951964  68.68033167
 -43.57514191 -32.73       -35.22       -62.96998874  46.11189603]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
9,2021-04-07 10:00:00,"[-45.89006016  33.93012099 -54.21       -31.24070439 -36.87234616
 -77.9375     -74.87749107 -55.215       42.995       59.4225
 -90.63139912 -87.0675     -64.2225      97.74400694  68.78856278
 -42.35717108 -32.6725     -35.165      -63.00499249  46.12404318]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
